original_title,popularity,vote_average,vote_count,runtime,release_year
Venom: Let There Be Carnage,5401.308,6.8,1736.0,97.0,2021.0
Eternals,3365.535,7.1,622.0,157.0,2021.0
Dune,2911.423,8.0,3632.0,155.0,2021.0
Army of Thieves,2552.437,6.9,555.0,127.0,2021.0
Free Guy,1850.47,7.8,3493.0,115.0,2021.0
Gunpowder Milkshake,1453.423,6.5,347.0,114.0,2021.0
Venom,1212.352,6.8,12126.0,112.0,2018.0
Halloween Kills,1023.024,7.0,1134.0,105.0,2021.0
W lesie dziś nie zaśnie nikt 2,1089.852,4.1,72.0,96.0,2021.0
American Badger,1148.822,6.3,14.0,88.0,2021.0
The Addams Family 2,1031.821,7.4,562.0,93.0,2021.0
劇場版 七つの大罪 光に呪われし者たち,1108.815,8.4,210.0,0.0,2021.0
Shang-Chi and the Legend of the Ten Rings,1327.18,7.7,1414.0,132.0,2021.0
Snake Eyes: G.I. Joe Origins,1052.222,6.9,786.0,121.0,2021.0
The Vault,1046.86,7.1,392.0,118.0,2021.0
The Deep House,848.536,5.5,112.0,85.0,2021.0
I onde dager,863.019,6.8,118.0,113.0,2021.0
Zone 414,797.785,5.8,86.0,98.0,2021.0
劇場版「鬼滅の刃」無限列車編,897.913,8.4,1833.0,117.0,2020.0
The Protégé,832.048,6.8,330.0,109.0,2021.0
Peçanha Contra o Animal,943.619,5.4,13.0,67.0,2021.0
Последний богатырь: Корень зла,835.043,7.0,63.0,120.0,2021.0
W jak morderstwo,957.866,5.8,25.0,104.0,2021.0
The Suicide Squad,807.497,7.8,4695.0,132.0,2021.0
Deathstroke: Knights & Dragons - The Movie,787.704,7.0,294.0,87.0,2020.0
The Boss Baby: Family Business,761.177,7.7,1582.0,107.0,2021.0
Ripper Untold,678.956,6.5,47.0,85.0,2021.0
Matando Cabos 2: La Máscara del Máscara,693.568,7.9,57.0,0.0,2021.0
F9,701.647,7.4,4302.0,143.0,2021.0
Jungle Cruise,683.909,7.8,3111.0,127.0,2021.0
Luca,639.636,8.0,5020.0,95.0,2021.0
Operación Camarón,585.313,5.5,17.0,90.0,2021.0
Black Widow,624.488,7.7,5823.0,134.0,2021.0
Separation,557.939,6.0,77.0,107.0,2021.0
PAW Patrol: The Movie,596.854,7.7,660.0,86.0,2021.0
After We Fell,625.512,7.4,766.0,99.0,2021.0
Dragon Fury,580.002,6.0,21.0,88.0,2021.0
Kin,579.316,6.6,32.0,104.0,2021.0
Hypnotic,514.169,6.2,214.0,88.0,2021.0
Coco,573.567,8.2,14756.0,105.0,2017.0
Rock Dog 2: Rock Around the Park,611.612,7.6,25.0,90.0,2021.0
Space Jam: A New Legacy,525.266,7.3,2550.0,115.0,2021.0
Wrath of Man,541.957,7.8,2598.0,119.0,2021.0
The Many Saints of Newark,593.17,6.8,201.0,120.0,2021.0
Caged,475.873,6.6,39.0,81.0,2021.0
Injustice,563.221,8.0,339.0,78.0,2021.0
Cosmic Sin,503.598,4.4,363.0,88.0,2021.0
Cruella,510.735,8.3,5879.0,134.0,2021.0
BAC Nord,486.411,7.7,483.0,105.0,2021.0
Mortal Kombat,495.192,7.3,4000.0,110.0,2021.0
Demonic,422.784,4.9,74.0,104.0,2021.0
疯狂的拳头,504.28,7.6,37.0,97.0,2017.0
劇場版ポケットモンスター ココ,510.2,7.3,59.0,98.0,2020.0
The Tomorrow War,439.548,8.1,4522.0,138.0,2021.0
Infinite,430.839,6.9,553.0,106.0,2021.0
Old,427.735,6.7,1593.0,108.0,2021.0
LOL Surprise: The Movie,414.698,7.5,31.0,0.0,2021.0
Ainbo: Spirit of the Amazon,400.934,7.2,220.0,84.0,2021.0
"Miraculous World: Shanghai, la légende de Ladydragon",434.458,8.0,362.0,52.0,2021.0
Marvel Knights: Eternals,429.973,5.6,5.0,118.0,2014.0
Zack Snyder's Justice League,410.965,8.4,6803.0,242.0,2021.0
Spider-Man: No Way Home,480.702,0.0,0.0,0.0,2021.0
No Time to Die,604.254,7.4,1209.0,163.0,2021.0
Narco Sub,374.848,7.1,59.0,93.0,2021.0
Night Teeth,367.303,6.8,299.0,107.0,2021.0
Army of the Dead,364.974,6.4,2514.0,148.0,2021.0
Avatar,374.059,7.5,24280.0,162.0,2009.0
Sweet Girl,360.21,6.9,697.0,110.0,2021.0
Godzilla vs. Kong,393.812,7.9,7185.0,113.0,2021.0
Redemption Day,360.237,6.7,150.0,100.0,2021.0
真·三国无双,372.423,6.7,71.0,117.0,2021.0
Mi otra yo,501.068,6.3,3.0,89.0,2021.0
Don't Breathe 2,366.157,7.7,1114.0,98.0,2021.0
The Conjuring: The Devil Made Me Do It,311.759,7.8,3856.0,111.0,2021.0
Finch,549.884,8.0,522.0,115.0,2021.0
Ava,367.131,6.0,121.0,106.0,2017.0
Solitary,347.349,5.8,59.0,89.0,2020.0
機動戦士ガンダム 閃光のハサウェイ,371.425,8.1,57.0,96.0,2021.0
Catch the Bullet,363.643,5.6,67.0,89.0,2021.0
Rogue Hostage,340.663,6.4,101.0,94.0,2021.0
"Miraculous World : New York, les héros unis",326.392,8.3,812.0,55.0,2020.0
Women,219.924,6.1,14.0,90.0,2021.0
The Forever Purge,321.093,7.4,1396.0,103.0,2021.0
SAS: Red Notice,328.657,6.0,259.0,120.0,2021.0
Bloodthirsty,334.459,6.6,16.0,82.0,2021.0
The Amazing Spider-Man,369.323,6.6,13495.0,136.0,2012.0
Comment je suis devenu super-héros,320.168,6.1,292.0,101.0,2020.0
Jurassic Hunt,305.718,5.0,153.0,83.0,2021.0
Knowing,314.469,6.1,4067.0,121.0,2009.0
Monster Pets: A Hotel Transylvania Short,307.614,7.5,254.0,6.0,2021.0
Red Notice,282.641,7.4,19.0,116.0,2021.0
るろうに剣心 最終章 The Beginning,310.225,7.9,202.0,138.0,2021.0
僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,326.465,8.5,816.0,104.0,2019.0
Sharkdog’s Fintastic Halloween,261.208,3.7,3.0,24.0,2021.0
Under Wraps,273.852,7.1,41.0,91.0,2021.0
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,310.694,8.3,221.0,72.0,2021.0
Raya and the Last Dragon,308.607,8.1,4514.0,107.0,2021.0
Avengers: Infinity War,307.188,8.3,23027.0,149.0,2018.0
After We Collided,299.644,7.3,4262.0,105.0,2020.0
Ava,302.664,5.7,1785.0,96.0,2020.0
My Little Pony: A New Generation,316.848,8.1,131.0,91.0,2021.0
Black Water: Abyss,274.301,5.1,284.0,98.0,2020.0
We Broke Up,272.144,5.7,12.0,82.0,2021.0
Monster Hunter,273.173,6.9,2236.0,104.0,2020.0
Chacun chez soi,257.834,5.4,27.0,83.0,2021.0
After.Life,387.777,6.1,803.0,104.0,2009.0
The Unholy,263.412,6.9,1410.0,99.0,2021.0
Swim,273.818,7.4,16.0,87.0,2021.0
Kate,270.225,6.8,740.0,106.0,2021.0
"The Simpsons: The Good, the Bart, and the Loki",276.105,7.6,431.0,6.0,2021.0
Ron's Gone Wrong,287.164,7.3,41.0,106.0,2021.0
The Croods: A New Age,277.639,7.6,2621.0,95.0,2020.0
El mesero,249.461,8.3,286.0,86.0,2021.0
Love Hard,279.451,6.6,170.0,105.0,2021.0
Encanto,265.395,0.0,0.0,99.0,2021.0
Hacksaw Ridge,233.039,8.2,10136.0,139.0,2016.0
ブライト: サムライソウル,240.726,6.2,22.0,80.0,2021.0
劇場版 NARUTO -ナルト- 疾風伝,262.861,7.3,382.0,94.0,2007.0
The Marksman,287.586,7.1,950.0,108.0,2021.0
Apex,401.393,5.3,50.0,108.0,2021.0
Wonder Woman 1984,267.785,6.6,6105.0,151.0,2020.0
Un rescate de huevitos,268.087,8.1,256.0,0.0,2021.0
A Quiet Place Part II,252.028,7.7,3294.0,97.0,2021.0
Malignant,233.546,7.1,979.0,112.0,2021.0
Майор Гром: Чумной Доктор,248.521,6.8,342.0,136.0,2021.0
Le Dernier Mercenaire,265.12,6.8,431.0,110.0,2021.0
Little Big Mouth,239.444,4.9,13.0,94.0,2021.0
Nightbooks,227.322,6.6,183.0,103.0,2021.0
LEGO Star Wars Terrifying Tales,242.303,6.6,85.0,45.0,2021.0
Harry Potter and the Philosopher's Stone,234.446,7.9,21302.0,152.0,2001.0
Spider-Man: Homecoming,266.445,7.4,17065.0,133.0,2017.0
Fast & Furious 10,211.849,0.0,0.0,0.0,2023.0
Catalina la Catrina: especial Día de Muertos,260.402,3.3,5.0,0.0,2021.0
Muppets Haunted Mansion,206.82,6.9,86.0,52.0,2021.0
Jolt,243.844,6.8,753.0,91.0,2021.0
Spider-Man: Far From Home,273.535,7.5,10893.0,129.0,2019.0
Werewolves Within,225.012,6.1,179.0,97.0,2021.0
After,239.301,7.2,6704.0,106.0,2019.0
BORUTO -NARUTO THE MOVIE-,229.477,7.7,917.0,95.0,2015.0
Tom & Jerry,232.966,7.1,1831.0,101.0,2021.0
Spider-Man 3,236.031,6.3,10473.0,139.0,2007.0
Hotel Transylvania: Transformania,190.917,0.0,0.0,0.0,2022.0
Soul,229.134,8.2,7165.0,101.0,2020.0
The Last: Naruto the Movie,244.198,7.9,1069.0,114.0,2014.0
Tom Clancy's Without Remorse,223.53,7.2,1641.0,109.0,2021.0
Vivo,208.114,7.7,415.0,99.0,2021.0
イエスかノーか半分か,234.805,6.4,11.0,53.0,2020.0
The Courier,224.855,7.2,456.0,112.0,2021.0
Spirit Untamed,215.011,7.8,288.0,88.0,2021.0
"Barbie: Big City, Big Dreams",216.59,7.2,73.0,62.0,2021.0
No me echen ese muerto,173.395,7.4,17.0,0.0,2021.0
The Misfits,239.557,5.6,163.0,94.0,2021.0
Mortal Kombat Legends: Battle of the Realms,200.515,8.1,177.0,80.0,2021.0
Crank: High Voltage,219.241,6.0,2115.0,96.0,2009.0
Peter Rabbit 2: The Runaway,211.56,7.4,426.0,93.0,2021.0
서복,212.792,7.5,90.0,114.0,2021.0
The SpongeBob Movie: Sponge on the Run,200.485,7.7,2343.0,95.0,2020.0
The Green Knight,197.458,6.7,498.0,130.0,2021.0
Beckett,203.703,6.4,383.0,109.0,2021.0
Escape The Undertaker,204.213,5.3,26.0,31.0,2021.0
Harry Potter and the Goblet of Fire,212.082,7.8,16256.0,157.0,2005.0
Body Brokers,193.708,6.6,47.0,111.0,2021.0
Harry Potter and the Chamber of Secrets,216.882,7.7,17203.0,161.0,2002.0
Hancock,226.726,6.3,7665.0,92.0,2008.0
Escape Room: Tournament of Champions,174.019,6.9,709.0,88.0,2021.0
The Toll,200.391,6.2,59.0,80.0,2021.0
Carriers,203.334,5.8,815.0,84.0,2009.0
Avengers: Endgame,193.86,8.3,19434.0,181.0,2019.0
Roald Dahl's The Witches,197.823,6.5,1941.0,106.0,2020.0
Harry Potter and the Prisoner of Azkaban,208.631,8.0,16913.0,141.0,2004.0
僕のヒーローアカデミア THE MOVIE ～2人の英雄～,220.805,8.0,677.0,96.0,2018.0
No One Gets Out Alive,172.059,6.0,223.0,85.0,2021.0
火星异变,213.619,6.3,19.0,0.0,2021.0
The Avengers,209.584,7.7,25642.0,143.0,2012.0
Farm to Fork to Love,194.391,5.2,5.0,87.0,2021.0
The Amazing Spider-Man 2,221.297,6.4,9866.0,142.0,2014.0
A todo tren: destino Asturias,186.728,4.7,33.0,90.0,2021.0
The Maze Runner,204.576,7.2,13987.0,113.0,2014.0
Bride of Chucky,175.452,5.9,1302.0,89.0,1998.0
急先锋,188.834,6.3,374.0,107.0,2020.0
Public Enemies,165.954,6.7,3432.0,140.0,2009.0
Polaroid,218.474,5.8,684.0,88.0,2019.0
The Haunting of Helena,173.551,5.6,115.0,87.0,2013.0
Harry Potter and the Deathly Hallows: Part 2,191.193,8.1,16362.0,130.0,2011.0
Legion,189.34,5.7,1933.0,100.0,2010.0
Teen Titans Go! See Space Jam,199.353,7.0,143.0,80.0,2021.0
Spider-Man,221.416,7.2,14296.0,121.0,2002.0
싱크홀,189.962,7.3,21.0,113.0,2021.0
Long Story Short,179.125,7.4,51.0,90.0,2021.0
Awake,194.284,6.0,708.0,96.0,2021.0
Harry Potter and the Deathly Hallows: Part 1,186.846,7.8,15180.0,146.0,2010.0
There's Someone Inside Your House,181.842,5.7,259.0,96.0,2021.0
Harry Potter and the Half-Blood Prince,188.106,7.7,15241.0,153.0,2009.0
僕のヒーローアカデミア THE MOVIE ワールド ヒーローズ ミッション,184.977,7.2,21.0,101.0,2021.0
Vacation Friends,144.236,7.3,326.0,103.0,2021.0
Nobody,191.625,8.3,3624.0,92.0,2021.0
Undisputed III: Redemption,200.045,7.5,569.0,96.0,2010.0
Candyman,167.154,6.4,564.0,91.0,2021.0
ドラゴンボールZ 復活の「F」,187.296,6.8,1240.0,93.0,2015.0
